no2,,,
2024,,,
annual mean,,,
ug m-3,,,
,,,
gridcode,x,y,no22024
79119,448500,1185500,1.101631
79120,449500,1185500,1.090714
79121,450500,1185500,1.075145
79122,451500,1185500,1.070074
79123,452500,1185500,1.044594
79124,453500,1185500,1.029583
79125,454500,1185500,0.9903997
79782,421500,1184500,0.7717737
79784,423500,1184500,0.8007886
79785,424500,1184500,0.834913
79786,425500,1184500,0.8889997
79787,426500,1184500,0.8943218
79788,427500,1184500,0.9136963
79789,428500,1184500,0.950071
79790,429500,1184500,0.9545084
79791,430500,1184500,0.9652824
79792,431500,1184500,0.9809318
79793,432500,1184500,0.983434
79794,433500,1184500,0.9867352
79795,434500,1184500,1.004561
79796,435500,1184500,1.016874
79797,436500,1184500,1.074604
79798,437500,1184500,1.067183
79805,444500,1184500,1.166405
79806,445500,1184500,1.195984
79807,446500,1184500,1.166215
79808,447500,1184500,1.150223
79809,448500,1184500,1.132269
79810,449500,1184500,1.111228
79811,450500,1184500,1.086395
79812,451500,1184500,1.065143
79813,452500,1184500,1.053327
79814,453500,1184500,1.011735
80474,423500,1183500,0.806621
80475,424500,1183500,0.8336605
80476,425500,1183500,0.8845803
80477,426500,1183500,0.898784
80478,427500,1183500,0.9046628
80479,428500,1183500,0.9225447
80480,429500,1183500,0.9503262
80481,430500,1183500,0.9793067
80482,431500,1183500,1.00194
80483,432500,1183500,1.006378
80484,433500,1183500,1.011716
80485,434500,1183500,1.036824
80486,435500,1183500,1.048848
80487,436500,1183500,1.05076
80488,437500,1183500,1.079106
80495,444500,1183500,1.222581
80496,445500,1183500,1.260367
80497,446500,1183500,1.218037
80498,447500,1183500,1.198088
80499,448500,1183500,1.171638
80500,449500,1183500,1.132841
80501,450500,1183500,1.09957
80502,451500,1183500,1.082355
80503,452500,1183500,1.07237
80504,453500,1183500,1.035277
81164,423500,1182500,0.8081524
81165,424500,1182500,0.8415764
81166,425500,1182500,0.8766065
81167,426500,1182500,0.8806186
81168,427500,1182500,0.8920076
81169,428500,1182500,0.9092682
81170,429500,1182500,0.9595298
81171,430500,1182500,0.9963957
81172,431500,1182500,1.021938
81173,432500,1182500,1.026227
81174,433500,1182500,1.037751
81175,434500,1182500,1.07103
81176,435500,1182500,1.079172
81177,436500,1182500,1.088005
81178,437500,1182500,1.121088
81185,444500,1182500,1.279915
81186,445500,1182500,1.322913
81187,446500,1182500,1.287777
81188,447500,1182500,1.266731
81189,448500,1182500,1.224741
81190,449500,1182500,1.163378
81191,450500,1182500,1.122789
81192,451500,1182500,1.104827
81193,452500,1182500,1.082659
81194,453500,1182500,1.054113
81854,423500,1181500,0.8129306
81855,424500,1181500,0.8362446
81856,425500,1181500,0.8655336
81857,426500,1181500,0.8741579
81858,427500,1181500,0.8878926
81859,428500,1181500,0.9189351
81860,429500,1181500,0.9432505
81861,430500,1181500,1.02234
81862,431500,1181500,1.036268
81863,432500,1181500,1.037152
81864,433500,1181500,1.067642
81865,434500,1181500,1.09154
81866,435500,1181500,1.101655
81867,436500,1181500,1.130654
81868,437500,1181500,1.130577
81869,438500,1181500,1.201355
81870,439500,1181500,1.252742
81872,441500,1181500,1.297897
81873,442500,1181500,1.355757
81874,443500,1181500,1.373729
81875,444500,1181500,1.347342
81876,445500,1181500,1.372605
81877,446500,1181500,1.378706
81878,447500,1181500,1.374321
81879,448500,1181500,1.289575
81880,449500,1181500,1.201505
81881,450500,1181500,1.160792
81882,451500,1181500,1.143146
81883,452500,1181500,1.112576
81884,453500,1181500,1.083241
82542,421500,1180500,0.7920666
82543,422500,1180500,0.8063435
82544,423500,1180500,0.8251954
82545,424500,1180500,0.8446966
82546,425500,1180500,0.869331
82547,426500,1180500,0.8755292
82548,427500,1180500,0.8895604
82549,428500,1180500,0.9237884
82550,429500,1180500,0.9642667
82551,430500,1180500,1.074342
82552,431500,1180500,1.016871
82553,432500,1180500,1.025056
82554,433500,1180500,1.070004
82555,434500,1180500,1.104791
82556,435500,1180500,1.144284
82557,436500,1180500,1.189089
82558,437500,1180500,1.2081
82559,438500,1180500,1.222886
82563,442500,1180500,1.486047
82564,443500,1180500,1.479125
82565,444500,1180500,1.444299
82566,445500,1180500,1.431077
82567,446500,1180500,1.580115
82568,447500,1180500,1.538203
82569,448500,1180500,1.341767
82570,449500,1180500,1.260832
82571,450500,1180500,1.219424
82572,451500,1180500,1.202149
82573,452500,1180500,1.172578
82574,453500,1180500,1.115189
83231,420500,1179500,0.7726187
83232,421500,1179500,0.8022069
83233,422500,1179500,0.8219641
83234,423500,1179500,0.838495
83235,424500,1179500,0.8586565
83236,425500,1179500,0.8743845
83237,426500,1179500,0.8774103
83238,427500,1179500,0.894056
83239,428500,1179500,0.9241262
83240,429500,1179500,0.9702245
83241,430500,1179500,0.9834924
83242,431500,1179500,0.9791511
83243,432500,1179500,0.9919112
83244,433500,1179500,1.040317
83245,434500,1179500,1.099906
83246,435500,1179500,1.189848
83247,436500,1179500,1.225785
83248,437500,1179500,1.268762
83250,439500,1179500,1.406964
83251,440500,1179500,1.52231
83252,441500,1179500,1.648245
83253,442500,1179500,1.651792
83254,443500,1179500,1.575061
83255,444500,1179500,1.548387
83256,445500,1179500,1.55138
83257,446500,1179500,2.806728
83258,447500,1179500,1.618804
83259,448500,1179500,1.36481
83260,449500,1179500,1.272252
83261,450500,1179500,1.214864
83262,451500,1179500,1.22197
83263,452500,1179500,1.140905
83264,453500,1179500,1.11771
83921,420500,1178500,0.7773498
83922,421500,1178500,0.8102301
83923,422500,1178500,0.818315
83924,423500,1178500,0.8370179
83925,424500,1178500,0.8399538
83926,425500,1178500,0.8805335
83927,426500,1178500,0.8875326
83928,427500,1178500,0.9066874
83929,428500,1178500,0.9414473
83930,429500,1178500,0.9645603
83931,430500,1178500,0.9867187
83932,431500,1178500,0.9812683
83933,432500,1178500,0.9962381
83934,433500,1178500,1.02979
83935,434500,1178500,1.07966
83936,435500,1178500,1.161227
83937,436500,1178500,1.26515
83938,437500,1178500,1.359359
83940,439500,1178500,1.537942
83941,440500,1178500,1.786122
83942,441500,1178500,2.037497
83943,442500,1178500,1.838745
83944,443500,1178500,1.675599
83945,444500,1178500,1.666683
83947,446500,1178500,2.759037
83948,447500,1178500,1.50754
83949,448500,1178500,1.322825
83950,449500,1178500,1.251062
83951,450500,1178500,1.183524
83952,451500,1178500,1.163671
83953,452500,1178500,1.126608
84611,420500,1177500,0.773041
84612,421500,1177500,0.7974429
84613,422500,1177500,0.806376
84614,423500,1177500,0.8189654
84615,424500,1177500,0.8108419
84616,425500,1177500,0.8574652
84617,426500,1177500,0.8764271
84618,427500,1177500,0.8869692
84619,428500,1177500,0.9422879
84620,429500,1177500,0.9354296
84621,430500,1177500,0.9707237
84622,431500,1177500,0.9984694
84623,432500,1177500,1.020955
84624,433500,1177500,1.039719
84625,434500,1177500,1.087188
84626,435500,1177500,1.137062
84627,436500,1177500,1.229948
84628,437500,1177500,1.446624
84630,439500,1177500,1.837599
84631,440500,1177500,2.548962
84632,441500,1177500,2.622545
84633,442500,1177500,2.059455
84634,443500,1177500,1.885605
84635,444500,1177500,1.952109
84639,448500,1177500,1.286391
84640,449500,1177500,1.233416
85301,420500,1176500,0.7648996
85302,421500,1176500,0.7752503
85303,422500,1176500,0.7848864
85304,423500,1176500,0.7957112
85307,426500,1176500,0.8579208
85308,427500,1176500,0.881012
85309,428500,1176500,0.903617
85310,429500,1176500,0.9310599
85311,430500,1176500,0.9533072
85312,431500,1176500,0.9881546
85313,432500,1176500,1.02053
85314,433500,1176500,1.028176
85315,434500,1176500,1.072179
85316,435500,1176500,1.134744
85317,436500,1176500,1.234682
85318,437500,1176500,1.412376
85319,438500,1176500,1.940069
85320,439500,1176500,2.565261
85321,440500,1176500,6.180595
85322,441500,1176500,2.881446
85323,442500,1176500,2.131791
85324,443500,1176500,2.569278
85325,444500,1176500,2.682988
85327,446500,1176500,1.428878
85997,426500,1175500,0.8573347
85998,427500,1175500,0.8787341
85999,428500,1175500,0.8957939
86000,429500,1175500,0.9252104
86001,430500,1175500,0.9503962
86002,431500,1175500,0.976368
86003,432500,1175500,1.007327
86004,433500,1175500,1.027765
86005,434500,1175500,1.057674
86006,435500,1175500,1.110097
86007,436500,1175500,1.211796
86008,437500,1175500,1.384645
86009,438500,1175500,2.75192
86010,439500,1175500,2.872693
86011,440500,1175500,4.043687
86012,441500,1175500,2.580362
86013,442500,1175500,1.940984
86014,443500,1175500,1.737393
86015,444500,1175500,1.590106
86016,445500,1175500,1.451916
86017,446500,1175500,1.344239
86018,447500,1175500,1.273964
86023,452500,1175500,1.117808
86024,453500,1175500,1.102054
86687,426500,1174500,0.8560561
86688,427500,1174500,0.8726539
86689,428500,1174500,0.8883933
86690,429500,1174500,0.9210768
86691,430500,1174500,0.9393928
86692,431500,1174500,0.969822
86693,432500,1174500,0.9993498
86694,433500,1174500,1.044876
86695,434500,1174500,1.066147
86696,435500,1174500,1.125736
86697,436500,1174500,1.224118
86698,437500,1174500,1.396496
86699,438500,1174500,1.677313
86700,439500,1174500,3.483622
86701,440500,1174500,3.33647
86702,441500,1174500,2.318634
86703,442500,1174500,1.822497
86704,443500,1174500,1.615547
86705,444500,1174500,1.476075
86706,445500,1174500,1.357731
86708,447500,1174500,1.243948
86712,451500,1174500,1.131564
86713,452500,1174500,1.12524
86714,453500,1174500,1.085777
87380,429500,1173500,0.9083626
87381,430500,1173500,0.9366895
87382,431500,1173500,0.9666277
87383,432500,1173500,0.9981761
87384,433500,1173500,1.049183
87385,434500,1173500,1.073878
87386,435500,1173500,1.131431
87387,436500,1173500,1.200168
87388,437500,1173500,1.322204
87389,438500,1173500,1.600545
87390,439500,1173500,1.919347
87391,440500,1173500,4.157923
87392,441500,1173500,2.071903
87393,442500,1173500,1.61467
