Sheet 1: Healthy life expectancy in the UK by age and sex: between 2011 to 2013 and 2022 to 2024,,,,,,,,,,,,
[note 1] [note 2] [note 3] [note 4] [note 5] [note 6] [note 7],,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,
HLE refers to healthy life expectancy; LCI refers to lower bound of the 95% confidence interval; UCI refers to upper bound of the 95% confidence interval; Proportion (%) refers to proportion of life spent in good health.,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,
Return to Contents,,,,,,,,,,,,
Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%)
2017 to 2019,England,Local Areas,E10000003,Cambridgeshire,Female,2,70 to 74,16,9.9,8.4,11.4,56
2017 to 2019,England,Local Areas,E10000003,Cambridgeshire,Female,2,75 to 79,17,7.2,5.6,8.7,52
2017 to 2019,England,Local Areas,E10000003,Cambridgeshire,Female,2,80 to 84,18,4.9,3.3,6.5,48
2017 to 2019,England,Local Areas,E10000003,Cambridgeshire,Female,2,85 to 89,19,3.2,2.1,4.2,44
2017 to 2019,England,Local Areas,E10000003,Cambridgeshire,Female,2,90+,20,2.1,1.4,2.7,40
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,<1,1,62.3,60.3,64.2,78
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,01 to 04,2,61.6,59.7,63.5,78
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,05 to 09,3,57.9,56.1,59.6,77
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,10 to 14,4,53.2,51.7,54.8,76
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,15 to 19,5,48.6,47.2,50.1,75
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,20 to 24,6,44.2,42.7,45.6,74
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,25 to 29,7,39.8,38.4,41.2,72
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,30 to 34,8,35.5,34.2,36.9,71
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,35 to 39,9,31.3,30.0,32.7,69
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,40 to 44,10,27.3,26.0,28.6,67
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,45 to 49,11,23.4,22.2,24.7,65
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,50 to 54,12,19.7,18.5,20.9,62
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,55 to 59,13,16.3,15.1,17.4,60
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,60 to 64,14,13.0,11.9,14.2,57
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,65 to 69,15,10.1,9.0,11.2,55
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,70 to 74,16,7.6,6.4,8.7,51
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,75 to 79,17,5.3,4.2,6.5,48
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,80 to 84,18,3.5,2.3,4.7,43
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,85 to 89,19,2.2,1.4,3.0,39
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Male,1,90+,20,1.3,0.8,1.7,34
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,<1,1,62.2,60.0,64.4,75
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,01 to 04,2,61.5,59.3,63.6,75
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,05 to 09,3,57.8,55.8,59.8,74
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,10 to 14,4,53.2,51.4,55.0,73
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,15 to 19,5,48.7,47.0,50.3,71
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,20 to 24,6,44.3,42.7,45.9,70
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,25 to 29,7,40.0,38.4,41.6,69
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,30 to 34,8,35.8,34.3,37.4,67
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,35 to 39,9,31.7,30.2,33.2,65
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,40 to 44,10,27.8,26.3,29.2,63
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,45 to 49,11,24.0,22.5,25.4,61
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,50 to 54,12,20.4,19.0,21.8,59
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,55 to 59,13,16.9,15.6,18.3,57
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,60 to 64,14,13.7,12.4,15.0,54
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,65 to 69,15,10.8,9.4,12.1,52
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,70 to 74,16,8.1,6.7,9.4,48
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,75 to 79,17,5.7,4.4,7.0,44
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,80 to 84,18,3.8,2.4,5.2,40
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,85 to 89,19,2.4,1.5,3.2,36
2017 to 2019,England,Local Areas,E10000007,Derbyshire,Female,2,90+,20,1.4,0.9,1.9,32
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,<1,1,67.3,65.5,69.1,83
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,01 to 04,2,66.6,64.8,68.4,83
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,05 to 09,3,62.8,61.2,64.4,83
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,10 to 14,4,58.1,56.6,59.6,82
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,15 to 19,5,53.4,52.0,54.8,81
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,20 to 24,6,48.8,47.4,50.2,80
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,25 to 29,7,44.4,43.0,45.7,79
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,30 to 34,8,40.0,38.7,41.3,78
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,35 to 39,9,35.7,34.5,36.9,76
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,40 to 44,10,31.5,30.3,32.6,75
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,45 to 49,11,27.3,26.2,28.5,73
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,50 to 54,12,23.4,22.3,24.5,72
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,55 to 59,13,19.6,18.5,20.7,70
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,60 to 64,14,16.1,15.0,17.1,68
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,65 to 69,15,12.8,11.8,13.8,65
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,70 to 74,16,9.8,8.7,10.8,62
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,75 to 79,17,7.0,5.9,8.1,58
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,80 to 84,18,4.7,3.6,5.8,54
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,85 to 89,19,3.0,2.3,3.7,49
2017 to 2019,England,Local Areas,E10000008,Devon,Male,1,90+,20,1.9,1.5,2.4,45
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,<1,1,68.1,66.0,70.2,81
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,01 to 04,2,67.4,65.3,69.4,80
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,05 to 09,3,63.6,61.7,65.4,80
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,10 to 14,4,58.9,57.2,60.6,79
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,15 to 19,5,54.2,52.6,55.8,78
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,20 to 24,6,49.7,48.1,51.2,77
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,25 to 29,7,45.2,43.7,46.7,76
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,30 to 34,8,40.9,39.4,42.3,74
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,35 to 39,9,36.7,35.2,38.1,73
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,40 to 44,10,32.5,31.1,33.8,72
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,45 to 49,11,28.4,27.0,29.7,70
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,50 to 54,12,24.5,23.2,25.8,68
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,55 to 59,13,20.7,19.4,22.0,67
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,60 to 64,14,17.2,15.9,18.4,65
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,65 to 69,15,13.8,12.5,15.0,62
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,70 to 74,16,10.5,9.3,11.7,59
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,75 to 79,17,7.5,6.3,8.8,55
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,80 to 84,18,5.1,3.8,6.4,50
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,85 to 89,19,3.2,2.4,4.0,45
2017 to 2019,England,Local Areas,E10000008,Devon,Female,2,90+,20,2.0,1.5,2.5,41
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,<1,1,62.5,60.0,64.9,78
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,01 to 04,2,61.8,59.3,64.2,78
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,05 to 09,3,58.1,55.8,60.3,77
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,10 to 14,4,53.5,51.4,55.5,76
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,15 to 19,5,48.9,47.0,50.8,75
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,20 to 24,6,44.4,42.5,46.3,73
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,25 to 29,7,40.1,38.3,41.9,72
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,30 to 34,8,35.9,34.1,37.6,71
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,35 to 39,9,31.7,30.0,33.4,69
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,40 to 44,10,27.7,26.1,29.4,67
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,45 to 49,11,24.0,22.4,25.5,65
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,50 to 54,12,20.3,18.8,21.8,63
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,55 to 59,13,16.9,15.4,18.4,61
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,60 to 64,14,13.7,12.3,15.2,58
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,65 to 69,15,10.8,9.4,12.2,56
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,70 to 74,16,8.2,6.7,9.6,53
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,75 to 79,17,5.9,4.3,7.4,49
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,80 to 84,18,4.0,2.3,5.7,45
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,85 to 89,19,2.6,1.5,3.7,41
2017 to 2019,England,Local Areas,E10000011,East Sussex,Male,1,90+,20,1.6,0.9,2.3,36
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,<1,1,63.3,60.6,66.0,75
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,01 to 04,2,62.6,59.9,65.3,75
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,05 to 09,3,58.9,56.5,61.4,74
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,10 to 14,4,54.4,52.2,56.6,73
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,15 to 19,5,49.9,47.8,51.9,72
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,20 to 24,6,45.5,43.5,47.5,71
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,25 to 29,7,41.3,39.4,43.2,70
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,30 to 34,8,37.1,35.3,39.0,68
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,35 to 39,9,33.1,31.4,34.9,67
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,40 to 44,10,29.2,27.5,30.9,65
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,45 to 49,11,25.5,23.8,27.1,63
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,50 to 54,12,21.8,20.2,23.4,62
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,55 to 59,13,18.4,16.8,20.0,60
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,60 to 64,14,15.1,13.6,16.7,57
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,65 to 69,15,12.0,10.5,13.6,55
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,70 to 74,16,9.2,7.7,10.7,52
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,75 to 79,17,6.6,5.1,8.2,48
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,80 to 84,18,4.5,2.9,6.1,44
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,85 to 89,19,2.9,1.9,3.9,40
2017 to 2019,England,Local Areas,E10000011,East Sussex,Female,2,90+,20,1.8,1.2,2.4,36
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,<1,1,64.7,63.2,66.2,81
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,01 to 04,2,64.0,62.5,65.5,80
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,05 to 09,3,60.2,58.9,61.6,80
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,10 to 14,4,55.5,54.3,56.8,79
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,15 to 19,5,50.9,49.7,52.0,77
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,20 to 24,6,46.3,45.2,47.5,76
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,25 to 29,7,41.9,40.8,43.0,75
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,30 to 34,8,37.5,36.4,38.6,73
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,35 to 39,9,33.2,32.1,34.3,72
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,40 to 44,10,29.0,28.0,30.1,70
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,45 to 49,11,25.0,23.9,26.0,68
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,50 to 54,12,21.1,20.1,22.1,66
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,55 to 59,13,17.5,16.5,18.5,63
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,60 to 64,14,14.1,13.2,15.0,61
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,65 to 69,15,11.1,10.1,12.0,58
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,70 to 74,16,8.3,7.4,9.2,55
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,75 to 79,17,5.9,5.0,6.9,51
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,80 to 84,18,3.9,2.9,5.0,47
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,85 to 89,19,2.5,1.8,3.1,42
2017 to 2019,England,Local Areas,E10000012,Essex,Male,1,90+,20,1.5,1.1,1.9,37
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,<1,1,65.4,63.7,67.1,78
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,01 to 04,2,64.6,63.0,66.3,78
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,05 to 09,3,60.9,59.4,62.4,77
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,10 to 14,4,56.3,54.9,57.7,76
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,15 to 19,5,51.7,50.4,53.0,75
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,20 to 24,6,47.3,46.0,48.6,74
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,25 to 29,7,43.0,41.7,44.2,73
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,30 to 34,8,38.7,37.5,39.9,72
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,35 to 39,9,34.5,33.3,35.7,70
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,40 to 44,10,30.4,29.2,31.6,69
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,45 to 49,11,26.5,25.3,27.6,67
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,50 to 54,12,22.6,21.5,23.8,65
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,55 to 59,13,19.0,17.9,20.1,63
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,60 to 64,14,15.6,14.5,16.7,61
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,65 to 69,15,12.4,11.3,13.4,58
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,70 to 74,16,9.4,8.3,10.5,55
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,75 to 79,17,6.7,5.6,7.8,51
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,80 to 84,18,4.5,3.4,5.7,47
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,85 to 89,19,2.9,2.2,3.6,42
2017 to 2019,England,Local Areas,E10000012,Essex,Female,2,90+,20,1.7,1.3,2.1,38
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,<1,1,66.8,64.8,68.7,83
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,01 to 04,2,66.1,64.1,68.0,83
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,05 to 09,3,62.3,60.5,64.0,82
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,10 to 14,4,57.6,56.0,59.2,81
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,15 to 19,5,52.9,51.4,54.4,80
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,20 to 24,6,48.3,46.8,49.8,79
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,25 to 29,7,43.9,42.5,45.3,78
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,30 to 34,8,39.5,38.2,40.9,77
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,35 to 39,9,35.3,33.9,36.6,76
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,40 to 44,10,31.1,29.8,32.4,74
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,45 to 49,11,26.9,25.7,28.2,73
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,50 to 54,12,23.0,21.8,24.2,71
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,55 to 59,13,19.3,18.0,20.5,69
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,60 to 64,14,15.7,14.5,16.9,67
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,65 to 69,15,12.5,11.3,13.6,64
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,70 to 74,16,9.5,8.4,10.7,61
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,75 to 79,17,6.8,5.7,8.0,57
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,80 to 84,18,4.6,3.3,5.8,53
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,85 to 89,19,2.9,2.1,3.6,49
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Male,1,90+,20,1.7,1.2,2.1,44
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,<1,1,67.2,64.9,69.6,80
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,01 to 04,2,66.5,64.2,68.8,80
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,05 to 09,3,62.7,60.6,64.8,79
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,10 to 14,4,58.0,56.1,59.9,78
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,15 to 19,5,53.3,51.6,55.1,77
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,20 to 24,6,48.8,47.1,50.6,76
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,25 to 29,7,44.5,42.8,46.1,75
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,30 to 34,8,40.1,38.5,41.7,74
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,35 to 39,9,35.9,34.3,37.5,72
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,40 to 44,10,31.7,30.2,33.3,71
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,45 to 49,11,27.7,26.2,29.3,69
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,50 to 54,12,23.8,22.3,25.3,68
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,55 to 59,13,20.1,18.6,21.6,66
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,60 to 64,14,16.6,15.1,18.0,64
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,65 to 69,15,13.2,11.8,14.7,61
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,70 to 74,16,10.1,8.6,11.6,58
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,75 to 79,17,7.2,5.8,8.7,54
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,80 to 84,18,4.9,3.3,6.4,49
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,85 to 89,19,3.0,2.1,4.0,44
2017 to 2019,England,Local Areas,E10000013,Gloucestershire,Female,2,90+,20,1.8,1.2,2.4,40
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,<1,1,66.0,64.5,67.5,81
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,01 to 04,2,65.3,63.8,66.8,81
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,05 to 09,3,61.6,60.2,62.9,80
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,10 to 14,4,56.9,55.6,58.2,79
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,15 to 19,5,52.2,51.0,53.4,78
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,20 to 24,6,47.7,46.5,48.9,77
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,25 to 29,7,43.3,42.1,44.4,76
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,30 to 34,8,38.9,37.8,40.0,75
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,35 to 39,9,34.6,33.5,35.7,73
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,40 to 44,10,30.4,29.3,31.5,72
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,45 to 49,11,26.3,25.3,27.4,70
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,50 to 54,12,22.4,21.4,23.4,68
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,55 to 59,13,18.7,17.7,19.7,66
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,60 to 64,14,15.2,14.3,16.2,63
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,65 to 69,15,12.1,11.1,13.0,61
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,70 to 74,16,9.2,8.2,10.1,58
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,75 to 79,17,6.6,5.6,7.6,54
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,80 to 84,18,4.5,3.5,5.6,50
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,85 to 89,19,2.9,2.2,3.6,46
2017 to 2019,England,Local Areas,E10000014,Hampshire,Male,1,90+,20,1.8,1.4,2.3,41
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,<1,1,66.8,65.1,68.6,79
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,01 to 04,2,66.1,64.4,67.9,79
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,05 to 09,3,62.4,60.8,64.0,78
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,10 to 14,4,57.7,56.2,59.2,77
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,15 to 19,5,53.1,51.7,54.5,76
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,20 to 24,6,48.6,47.3,50.0,75
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,25 to 29,7,44.3,43.0,45.6,74
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,30 to 34,8,40.0,38.7,41.3,72
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,35 to 39,9,35.8,34.5,37.0,71
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,40 to 44,10,31.7,30.4,32.9,70
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,45 to 49,11,27.6,26.4,28.8,68
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,50 to 54,12,23.8,22.6,24.9,66
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,55 to 59,13,20.1,18.9,21.2,64
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,60 to 64,14,16.5,15.4,17.7,62
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,65 to 69,15,13.2,12.1,14.4,60
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,70 to 74,16,10.1,9.0,11.2,56
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,75 to 79,17,7.3,6.1,8.4,52
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,80 to 84,18,4.9,3.7,6.1,47
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,85 to 89,19,3.0,2.3,3.8,42
2017 to 2019,England,Local Areas,E10000014,Hampshire,Female,2,90+,20,1.9,1.4,2.4,38
2017 to 2019,England,Local Areas,E10000015,Hertfordshire,Male,1,<1,1,65.7,64.0,67.4,81
2017 to 2019,England,Local Areas,E10000015,Hertfordshire,Male,1,01 to 04,2,65.0,63.4,66.6,81
2017 to 2019,England,Local Areas,E10000015,Hertfordshire,Male,1,05 to 09,3,61.2,59.7,62.7,80
2017 to 2019,England,Local Areas,E10000015,Hertfordshire,Male,1,10 to 14,4,56.5,55.1,57.9,79
2017 to 2019,England,Local Areas,E10000015,Hertfordshire,Male,1,15 to 19,5,51.8,50.5,53.2,78
2017 to 2019,England,Local Areas,E10000015,Hertfordshire,Male,1,20 to 24,6,47.2,45.9,48.6,77
2017 to 2019,England,Local Areas,E10000015,Hertfordshire,Male,1,25 to 29,7,42.8,41.5,44.1,76
2017 to 2019,England,Local Areas,E10000015,Hertfordshire,Male,1,30 to 34,8,38.3,37.1,39.6,74
2017 to 2019,England,Local Areas,E10000015,Hertfordshire,Male,1,35 to 39,9,34.0,32.8,35.2,73
